id,kanji,type,yomi,word,highlight,ex1,ex1_yomi,ex2,ex2_yomi
兄-訓,兄,訓,あに,兄,兄,ぼくの兄。,あに,兄とあそぶ。,あに
形-訓,形,訓,かたち,形,形,まるい形。,かたち,ほしの形。,かたち
計-音,計,音,けい,時計,計,時計をみる。,けい,計さんをする。,けい
元-音,元,音,げん,元気,元,元気にあそぶ。,げん,元気なこえ。,げん
言-訓,言,訓,い,言う,言,なまえを言う。,い,おれいを言う。,い
原-訓,原,訓,はら,野原,原,野原をはしる。,はら,原っぱであそぶ。,はら
戸-訓,戸,訓,と,戸,戸,戸をあける。,と,戸をしめる。,と
古-訓,古,訓,ふる,古い,古,古いほん。,ふる,古いいえ。,ふる
午-音,午,音,ご,午後,午,午後にあそぶ。,ご,午ぜんちゅう。,ご
後-訓,後,訓,あと,後,後,後でいく。,あと,ごはんの後。,あと
後-音,後,音,ご,午後,後,午後にかえる。,ご,ご後のおやつ。,ご
語-音,語,音,ご,国語,語,国語のじかん。,ご,たん語をおぼえる。,ご
工-音,工,音,こう,工作,工,工作をする。,こう,工じょうのきかい。,こう
公-音,公,音,こう,公園,公,公園であそぶ。,こう,公きょうのバス。,こう
広-訓,広,訓,ひろ,広い,広,広いこうえん。,ひろ,広いへや。,ひろ
交-音,交,音,こう,交通,交,交通あんぜん。,こう,交ばんにいく。,こう
光-訓,光,訓,ひかり,光,光,日の光。,ひかり,星の光。,ひかり
考-訓,考,訓,かんが,考える,考,よく考える。,かんが,こたえを考える。,かんが
行-訓,行,訓,い,行く,行,学校へ行く。,い,うみへ行く。,い
行-音,行,音,こう,旅行,行,旅行にいく。,こう,行どうする。,こう
高-訓,高,訓,たか,高い,高,高い山。,たか,せが高い。,たか
黄-訓,黄,訓,き,黄いろ,黄,黄いろのはな。,き,黄いろいぼうし。,き
合-訓,合,訓,あ,合う,合,こたえが合う。,あ,手と手を合わせる。,あ
谷-訓,谷,訓,たに,谷,谷,谷をわたる。,たに,ふかい谷。,たに
国-訓,国,訓,くに,国,国,とおい国。,くに,わたしの国。,くに
黒-訓,黒,訓,くろ,黒い,黒,黒いいぬ。,くろ,黒いくつ。,くろ
今-訓,今,訓,いま,今,今,今、なんじ？,いま,今いく。,いま
才-音,才,音,さい,才,才,なん才ですか。,さい,七才のいもうと。,さい
細-訓,細,訓,ほそ,細い,細,細いいと。,ほそ,細いみち。,ほそ
作-訓,作,訓,つく,作る,作,ごはんを作る。,つく,おもちゃを作る。,つく
作-音,作,音,さく,工作,作,工作のじかん。,さく,作ぶんを書く。,さく
算-音,算,音,さん,算数,算,算数がすき。,さん,けい算をする。,さん
止-訓,止,訓,と,止まる,止,車が止まる。,と,とけいが止まる。,と
市-音,市,音,し,市,市,となりの市。,し,市りつの学校。,し
矢-訓,矢,訓,や,矢,矢,矢をはなつ。,や,弓と矢。,や
姉-訓,姉,訓,あね,姉,姉,わたしの姉。,あね,姉とでかける。,あね
思-訓,思,訓,おも,思う,思,いいと思う。,おも,そう思う。,おも
紙-訓,紙,訓,かみ,紙,紙,紙にかく。,かみ,白い紙。,かみ
寺-訓,寺,訓,てら,寺,寺,寺におまいり。,てら,古い寺。,てら
自-音,自,音,じ,自分,自,自分でやる。,じ,自てん車にのる。,じ
時-訓,時,訓,とき,時,時,あさの時。,とき,たのしい時。,とき
時-音,時,音,じ,時間,時,じゅぎょうの時間。,じ,三時におやつ。,じ
室-音,室,音,しつ,教室,室,教室であそぶ。,しつ,ほけん室にいく。,しつ
社-音,社,音,しゃ,会社,社,会社へいく。,しゃ,会社につとめる。,しゃ
弱-訓,弱,訓,よわ,弱い,弱,弱いちから。,よわ,からだが弱い。,よわ
首-訓,首,訓,くび,首,首,首をまわす。,くび,きりんの首。,くび
秋-訓,秋,訓,あき,秋,秋,秋のもみじ。,あき,秋になる。,あき
週-音,週,音,しゅう,今週,週,今週のよてい。,しゅう,来週あそぶ。,しゅう
春-訓,春,訓,はる,春,春,春のはな。,はる,春になる。,はる
書-訓,書,訓,か,書く,書,字を書く。,か,名まえを書く。,か
少-訓,少,訓,すこ,少し,少,少しだけたべる。,すこ,もう少し。,すこ
場-訓,場,訓,ば,広場,場,広場であそぶ。,ば,場しょをきめる。,ば
色-訓,色,訓,いろ,色,色,すきな色。,いろ,あかい色。,いろ
食-訓,食,訓,た,食べる,食,ごはんを食べる。,た,りんごを食べる。,た
食-音,食,音,しょく,食事,食,食事のじかん。,しょく,きゅう食をたべる。,しょく
心-訓,心,訓,こころ,心,心,やさしい心。,こころ,心をこめる。,こころ
新-訓,新,訓,あたら,新しい,新,新しいくつ。,あたら,新しいほん。,あたら
親-訓,親,訓,おや,親,親,親とでかける。,おや,とりの親。,おや
図-音,図,音,ず,地図,図,地図をみる。,ず,図こうのじかん。,ず
数-訓,数,訓,かず,数,数,ほしの数。,かず,数をかぞえる。,かず
西-訓,西,訓,にし,西,西,西の空。,にし,西へすすむ。,にし
声-訓,声,訓,こえ,声,声,大きな声。,こえ,声をだす。,こえ
星-訓,星,訓,ほし,星,星,よるの星。,ほし,星がひかる。,ほし
晴-訓,晴,訓,は,晴れる,晴,空が晴れる。,は,あした晴れる。,は
切-訓,切,訓,き,切る,切,かみを切る。,き,つめを切る。,き
雪-訓,雪,訓,ゆき,雪,雪,雪がふる。,ゆき,白い雪。,ゆき
船-訓,船,訓,ふね,船,船,船にのる。,ふね,大きな船。,ふね
線-音,線,音,せん,線,線,線をひく。,せん,でん線にとまる。,せん
前-訓,前,訓,まえ,前,前,目の前。,まえ,前にすすむ。,まえ
組-訓,組,訓,くみ,組,組,一年一組。,くみ,となりの組。,くみ
走-訓,走,訓,はし,走る,走,はやく走る。,はし,こうていを走る。,はし
多-訓,多,訓,おお,多い,多,人が多い。,おお,数が多い。,おお
太-訓,太,訓,ふと,太い,太,太いき。,ふと,太いせん。,ふと
体-訓,体,訓,からだ,体,体,体をうごかす。,からだ,体があたたかい。,からだ
台-音,台,音,だい,台所,台,台所でりょうり。,だい,車が三台。,だい
地-音,地,音,ち,地図,地,地図をひろげる。,ち,地きゅうは丸い。,ち
池-訓,池,訓,いけ,池,池,池のさかな。,いけ,池であそぶ。,いけ
知-訓,知,訓,し,知る,知,なまえを知る。,し,みちを知る。,し
茶-音,茶,音,ちゃ,お茶,茶,お茶をのむ。,ちゃ,茶いろのくつ。,ちゃ
昼-訓,昼,訓,ひる,昼,昼,昼ごはん。,ひる,昼やすみ。,ひる
長-訓,長,訓,なが,長い,長,長いひも。,なが,長いみち。,なが
鳥-訓,鳥,訓,とり,鳥,鳥,鳥がとぶ。,とり,小鳥のこえ。,とり
朝-訓,朝,訓,あさ,朝,朝,朝おきる。,あさ,朝ごはん。,あさ
直-訓,直,訓,なお,直る,直,とけいが直る。,なお,けがが直る。,なお
通-訓,通,訓,とお,通る,通,みちを通る。,とお,車が通る。,とお
弟-訓,弟,訓,おとうと,弟,弟,ぼくの弟。,おとうと,弟とあそぶ。,おとうと
店-訓,店,訓,みせ,店,店,店にいく。,みせ,パンの店。,みせ
点-音,点,音,てん,点,点,百点をとる。,てん,点をうつ。,てん
電-音,電,音,でん,電車,電,電車にのる。,でん,電気をつける。,でん
刀-訓,刀,訓,かたな,刀,刀,さむらいの刀。,かたな,刀をもつ。,かたな
冬-訓,冬,訓,ふゆ,冬,冬,冬はさむい。,ふゆ,冬の雪。,ふゆ
当-訓,当,訓,あ,当たる,当,くじが当たる。,あ,ボールが当たる。,あ
東-訓,東,訓,ひがし,東,東,東の空。,ひがし,東からのぼる。,ひがし
東-音,東,音,とう,東京,東,東京タワー。,とう,東京までいく。,とう
答-訓,答,訓,こた,答える,答,しつもんに答える。,こた,大きなこえで答える。,こた
頭-訓,頭,訓,あたま,頭,頭,頭をなでる。,あたま,頭がいたい。,あたま
同-訓,同,訓,おな,同じ,同,同じいろ。,おな,同じくらす。,おな
道-訓,道,訓,みち,道,道,道をあるく。,みち,ひろい道。,みち
読-訓,読,訓,よ,読む,読,本を読む。,よ,こえにだして読む。,よ
内-訓,内,訓,うち,内,内,いえの内。,うち,内がわにすわる。,うち
南-訓,南,訓,みなみ,南,南,南の島。,みなみ,南へすすむ。,みなみ
肉-音,肉,音,にく,肉,肉,肉をたべる。,にく,やき肉。,にく
馬-訓,馬,訓,うま,馬,馬,馬にのる。,うま,馬がはしる。,うま
売-訓,売,訓,う,売る,売,やさいを売る。,う,パンを売る。,う
買-訓,買,訓,か,買う,買,パンを買う。,か,おかしを買う。,か
麦-訓,麦,訓,むぎ,麦,麦,麦のはたけ。,むぎ,麦ちゃをのむ。,むぎ
半-音,半,音,はん,半分,半,半分にわける。,はん,三時半におきる。,はん
番-音,番,音,ばん,一番,番,一番になる。,ばん,番ごうをよぶ。,ばん
父-訓,父,訓,ちち,父,父,ぼくの父。,ちち,父とあそぶ。,ちち
風-訓,風,訓,かぜ,風,風,風がふく。,かぜ,つよい風。,かぜ
分-訓,分,訓,わ,分かる,分,答えが分かる。,わ,いみが分かる。,わ
分-音,分,音,ふん,五分,分,あと五分。,ふん,よん分まつ。,ふん
聞-訓,聞,訓,き,聞く,聞,はなしを聞く。,き,おんがくを聞く。,き
米-訓,米,訓,こめ,米,米,米をたく。,こめ,白い米。,こめ
歩-訓,歩,訓,ある,歩く,歩,学校まで歩く。,ある,ゆっくり歩く。,ある
母-訓,母,訓,はは,母,母,わたしの母。,はは,母とでかける。,はは
方-訓,方,訓,かた,夕方,方,夕方にかえる。,かた,あの方はだれ。,かた
北-訓,北,訓,きた,北,北,北の空。,きた,北へすすむ。,きた
毎-音,毎,音,まい,毎日,毎,毎日 はをみがく。,まい,毎あさ おきる。,まい
妹-訓,妹,訓,いもうと,妹,妹,ぼくの妹。,いもうと,妹とあそぶ。,いもうと
万-音,万,音,まん,一万,万,一万円。,まん,百万円のいえ。,まん
明-訓,明,訓,あか,明るい,明,明るいへや。,あか,そとは明るい。,あか
鳴-訓,鳴,訓,な,鳴く,鳴,とりが鳴く。,な,むしが鳴く。,な
毛-訓,毛,訓,け,毛,毛,ねこの毛。,け,毛いと。,け
門-音,門,音,もん,門,門,学校の門。,もん,正門をとおる。,もん
夜-訓,夜,訓,よる,夜,夜,夜の星。,よる,夜になる。,よる
野-訓,野,訓,の,野原,野,野原であそぶ。,の,野やまをあるく。,の
野-音,野,音,や,野球,野,野球をする。,や,野さいをたべる。,や
友-訓,友,訓,とも,友だち,友,友だちとあそぶ。,とも,なかよしの友だち。,とも
用-音,用,音,よう,用じ,用,用じがある。,よう,きゅうな用じ。,よう
曜-音,曜,音,よう,曜日,曜,なに曜日ですか。,よう,日曜日はやすみ。,よう
来-訓,来,訓,く,来る,来,ともだちが来る。,く,バスが来る。,く
里-訓,里,訓,さと,里,里,やまの里。,さと,里にかえる。,さと
理-音,理,音,り,理科,理,理科のじっけん。,り,りょう理をする。,り
話-訓,話,訓,はな,話す,話,ともだちと話す。,はな,大きなこえで話す。,はな
話-音,話,音,わ,会話,話,会話をたのしむ。,わ,でん話をかける。,わ
