id,kanji,type,yomi,word,highlight,ex1,ex1_yomi,ex2,ex2_yomi
球-音,球,音,きゅう,野球,球,野球をする。,きゅう,ち球は丸い。,きゅう
去-音,去,音,きょ,去年,去,去年のなつ。,きょ,去年のはる。,きょ
橋-訓,橋,訓,はし,橋,橋,橋をわたる。,はし,大きな橋。,はし
業-音,業,音,ぎょう,授業,業,授業がはじまる。,ぎょう,さ業をする。,ぎょう
曲-訓,曲,訓,ま,曲がる,曲,みちが曲がる。,ま,右に曲がる。,ま
曲-音,曲,音,きょく,曲,曲,すきな曲。,きょく,きれいな曲。,きょく
局-音,局,音,きょく,ゆうびん局,局,ゆうびん局へいく。,きょく,ほうそう局。,きょく
銀-音,銀,音,ぎん,銀行,銀,銀行へいく。,ぎん,銀色のスプーン。,ぎん
区-音,区,音,く,区,区,区やくしょ。,く,となりの区。,く
苦-訓,苦,訓,にが,苦い,苦,苦いくすり。,にが,苦いコーヒー。,にが
具-音,具,音,ぐ,道具,具,道具をつかう。,ぐ,文ぼう具をかう。,ぐ
君-訓,君,訓,きみ,君,君,君のなまえ。,きみ,君とあそぶ。,きみ
係-訓,係,訓,かかり,係,係,日直の係。,かかり,係をきめる。,かかり
軽-訓,軽,訓,かる,軽い,軽,軽いにもつ。,かる,体が軽い。,かる
血-訓,血,訓,ち,血,血,血がでる。,ち,赤い血。,ち
決-訓,決,訓,き,決める,決,やくそくを決める。,き,日にちを決める。,き
研-音,研,音,けん,研究,研,研究する。,けん,研しゅうかい。,けん
県-音,県,音,けん,県,県,となりの県。,けん,県りつの学校。,けん
庫-音,庫,音,こ,倉庫,庫,倉庫にしまう。,こ,しゃ庫に車をいれる。,こ
湖-訓,湖,訓,みずうみ,湖,湖,きれいな湖。,みずうみ,湖でおよぐ。,みずうみ
向-訓,向,訓,む,向く,向,前を向く。,む,上を向く。,む
幸-訓,幸,訓,しあわ,幸せ,幸,幸せなとき。,しあわ,幸せにくらす。,しあわ
港-訓,港,訓,みなと,港,港,港に船がつく。,みなと,大きな港。,みなと
港-音,港,音,こう,空港,港,空港へいく。,こう,港わんのふね。,こう
号-音,号,音,ごう,番号,号,番号をよぶ。,ごう,五号しつ。,ごう
根-訓,根,訓,ね,根,根,木の根。,ね,根がのびる。,ね
祭-訓,祭,訓,まつ,お祭り,祭,夏のお祭り。,まつ,お祭りがたのしい。,まつ
皿-訓,皿,訓,さら,お皿,皿,お皿をあらう。,さら,白いお皿。,さら
仕-音,仕,音,し,仕事,仕,仕事をする。,し,仕方がない。,し
死-訓,死,訓,し,死ぬ,死,虫が死ぬ。,し,金ぎょが死ぬ。,し
使-訓,使,訓,つか,使う,使,はさみを使う。,つか,お金を使う。,つか
始-訓,始,訓,はじ,始める,始,べんきょうを始める。,はじ,ゲームを始める。,はじ
指-訓,指,訓,ゆび,指,指,手の指。,ゆび,指をおる。,ゆび
歯-訓,歯,訓,は,歯,歯,歯をみがく。,は,歯がいたい。,は
詩-音,詩,音,し,詩,詩,詩をよむ。,し,詩を書く。,し
次-訓,次,訓,つぎ,次,次,次のひと。,つぎ,次のページ。,つぎ
事-訓,事,訓,こと,事,事,大切な事。,こと,こまった事。,こと
事-音,事,音,じ,用事,事,用事がある。,じ,火事にきをつける。,じ
持-訓,持,訓,も,持つ,持,かばんを持つ。,も,手に持つ。,も
式-音,式,音,しき,入学式,式,入学式の日。,しき,そつ業式。,しき
実-訓,実,訓,み,実,実,木の実。,み,赤い実。,み
写-訓,写,訓,うつ,写す,写,ノートに写す。,うつ,字を写す。,うつ
写-音,写,音,しゃ,写真,写,写真をとる。,しゃ,写生をする。,しゃ
者-訓,者,訓,もの,者,者,わかい者。,もの,人気者。,もの
主-訓,主,訓,ぬし,持ち主,主,かさの持ち主。,ぬし,いえの主。,ぬし
守-訓,守,訓,まも,守る,守,やくそくを守る。,まも,みんなを守る。,まも
取-訓,取,訓,と,取る,取,本を取る。,と,手に取る。,と
酒-訓,酒,訓,さけ,お酒,酒,お酒をのむ。,さけ,酒やさん。,さけ
受-訓,受,訓,う,受ける,受,テストを受ける。,う,ボールを受ける。,う
州-音,州,音,しゅう,本州,州,本州のまち。,しゅう,九州へいく。,しゅう
拾-訓,拾,訓,ひろ,拾う,拾,ごみを拾う。,ひろ,石を拾う。,ひろ
終-訓,終,訓,お,終わる,終,じゅぎょうが終わる。,お,話が終わる。,お
習-訓,習,訓,なら,習う,習,ピアノを習う。,なら,字を習う。,なら
集-訓,集,訓,あつ,集める,集,切手を集める。,あつ,みんなを集める。,あつ
住-訓,住,訓,す,住む,住,まちに住む。,す,いえに住む。,す
重-訓,重,訓,おも,重い,重,重いにもつ。,おも,体が重い。,おも
宿-音,宿,音,しゅく,宿題,宿,宿題をする。,しゅく,がっ宿にいく。,しゅく
所-訓,所,訓,ところ,所,所,しずかな所。,ところ,たかい所。,ところ
暑-訓,暑,訓,あつ,暑い,暑,夏は暑い。,あつ,暑い日。,あつ
助-訓,助,訓,たす,助ける,助,人を助ける。,たす,こまった人を助ける。,たす
昭-音,昭,音,しょう,昭和,昭,昭和のじだい。,しょう,昭和うまれ。,しょう
消-訓,消,訓,け,消す,消,でん気を消す。,け,火を消す。,け
商-音,商,音,しょう,商店,商,商店がい。,しょう,商ばいをする。,しょう
章-音,章,音,しょう,文章,章,文章をよむ。,しょう,だい一章。,しょう
勝-訓,勝,訓,か,勝つ,勝,しあいに勝つ。,か,ゲームに勝つ。,か
乗-訓,乗,訓,の,乗る,乗,バスに乗る。,の,電車に乗る。,の
植-訓,植,訓,う,植える,植,木を植える。,う,はなを植える。,う
申-訓,申,訓,もう,申す,申,なまえを申す。,もう,おれいを申す。,もう
身-訓,身,訓,み,身,身,身をまもる。,み,中身をみる。,み
神-訓,神,訓,かみ,神さま,神,神さまにいのる。,かみ,神だなにそなえる。,かみ
真-音,真,音,しん,写真,真,写真をとる。,しん,真けんにきく。,しん
深-訓,深,訓,ふか,深い,深,深いうみ。,ふか,深いプール。,ふか
進-訓,進,訓,すす,進む,進,前へ進む。,すす,はやく進む。,すす
世-音,世,音,せ,世界,世,世界の国。,せ,世界りょこう。,せ
整-音,整,音,せい,整理,整,つくえを整理する。,せい,整とんする。,せい
昔-訓,昔,訓,むかし,昔,昔,昔のはなし。,むかし,むかし昔。,むかし
全-音,全,音,ぜん,全部,全,全部たべる。,ぜん,全いんあつまる。,ぜん
相-訓,相,訓,あい,相手,相,あそびの相手。,あい,相手をさがす。,あい
送-訓,送,訓,おく,送る,送,手紙を送る。,おく,にもつを送る。,おく
想-音,想,音,そう,感想,想,感想をはなす。,そう,想ぞうする。,そう
息-訓,息,訓,いき,息,息,息をすう。,いき,息をはく。,いき
速-訓,速,訓,はや,速い,速,速いくるま。,はや,足が速い。,はや
族-音,族,音,ぞく,家族,族,家族とでかける。,ぞく,みん族のいしょう。,ぞく
他-訓,他,訓,ほか,他,他,他のひと。,ほか,他のもの。,ほか
打-訓,打,訓,う,打つ,打,ボールを打つ。,う,たいこを打つ。,う
対-音,対,音,たい,反対,対,反対のいけん。,たい,はん対する。,たい
待-訓,待,訓,ま,待つ,待,ともだちを待つ。,ま,バスを待つ。,ま
代-訓,代,訓,か,代わる,代,せんしゅが代わる。,か,やくが代わる。,か
第-音,第,音,だい,第一,第,第一いになる。,だい,だい二かい。,だい
題-音,題,音,だい,問題,題,問題をとく。,だい,しゅく題をする。,だい
炭-訓,炭,訓,すみ,炭,炭,炭でやく。,すみ,木炭をつかう。,すみ
短-訓,短,訓,みじか,短い,短,短いえんぴつ。,みじか,短いひも。,みじか
談-音,談,音,だん,相談,談,相談する。,だん,だん話する。,だん
着-訓,着,訓,き,着る,着,服を着る。,き,コートを着る。,き
注-音,注,音,ちゅう,注意,注,注意する。,ちゅう,注もんする。,ちゅう
柱-訓,柱,訓,はしら,柱,柱,いえの柱。,はしら,でん柱。,はしら
丁-音,丁,音,ちょう,丁目,丁,三丁目のいえ。,ちょう,一丁目。,ちょう
帳-音,帳,音,ちょう,手帳,帳,手帳にかく。,ちょう,つう帳。,ちょう
調-訓,調,訓,しら,調べる,調,ことばを調べる。,しら,地図で調べる。,しら
追-訓,追,訓,お,追う,追,いぬを追う。,お,ボールを追う。,お
定-音,定,音,てい,予定,定,予定をきめる。,てい,定きてきにくる。,てい
庭-訓,庭,訓,にわ,庭,庭,庭であそぶ。,にわ,広い庭。,にわ
笛-訓,笛,訓,ふえ,笛,笛,笛をふく。,ふえ,たて笛。,ふえ
鉄-音,鉄,音,てつ,鉄,鉄,鉄のぼう。,てつ,ち下鉄にのる。,てつ
転-音,転,音,てん,自転車,転,自転車にのる。,てん,かい転する。,てん
都-音,都,音,と,都会,都,都会にすむ。,と,東京都。,と
度-音,度,音,ど,温度,度,温度をはかる。,ど,いち度だけ。,ど
投-訓,投,訓,な,投げる,投,ボールを投げる。,な,石を投げる。,な
豆-訓,豆,訓,まめ,豆,豆,豆をたべる。,まめ,大豆。,まめ
島-訓,島,訓,しま,島,島,小さな島。,しま,島にすむ。,しま
湯-訓,湯,訓,ゆ,お湯,湯,お湯をわかす。,ゆ,あつい湯。,ゆ
登-訓,登,訓,のぼ,登る,登,山に登る。,のぼ,木に登る。,のぼ
等-音,等,音,とう,一等,等,一等しょう。,とう,かけっこで一等。,とう
動-訓,動,訓,うご,動く,動,体を動かす。,うご,はやく動く。,うご
動-音,動,音,どう,運動,動,運動をする。,どう,動ぶつえん。,どう
童-音,童,音,どう,童話,童,童話をよむ。,どう,じ童かん。,どう
農-音,農,音,のう,農家,農,農家のしごと。,のう,農ぎょう。,のう
波-訓,波,訓,なみ,波,波,うみの波。,なみ,大きな波。,なみ
配-訓,配,訓,くば,配る,配,プリントを配る。,くば,カードを配る。,くば
倍-音,倍,音,ばい,二倍,倍,二倍のおおきさ。,ばい,三倍になる。,ばい
箱-訓,箱,訓,はこ,箱,箱,箱をあける。,はこ,空き箱。,はこ
畑-訓,畑,訓,はたけ,畑,畑,畑をたがやす。,はたけ,やさい畑。,はたけ
発-音,発,音,はつ,出発,発,出発のじかん。,はつ,発しゃする。,はつ
反-音,反,音,はん,反対,反,反対のほうこう。,はん,反のうする。,はん
坂-訓,坂,訓,さか,坂,坂,坂をのぼる。,さか,きゅうな坂。,さか
板-訓,板,訓,いた,板,板,木の板。,いた,板をきる。,いた
板-音,板,音,ばん,黒板,板,黒板に書く。,ばん,かん板をみる。,ばん
皮-訓,皮,訓,かわ,皮,皮,りんごの皮。,かわ,皮をむく。,かわ
悲-訓,悲,訓,かな,悲しい,悲,悲しいはなし。,かな,とても悲しい。,かな
美-訓,美,訓,うつく,美しい,美,美しい花。,うつく,美しいけしき。,うつく
鼻-訓,鼻,訓,はな,鼻,鼻,鼻がたかい。,はな,ぞうの鼻。,はな
筆-訓,筆,訓,ふで,筆,筆,筆で書く。,ふで,筆をもつ。,ふで
氷-訓,氷,訓,こおり,氷,氷,氷がとける。,こおり,つめたい氷。,こおり
表-訓,表,訓,おもて,表,表,紙の表。,おもて,表とうら。,おもて
秒-音,秒,音,びょう,秒,秒,十秒かぞえる。,びょう,一秒もまたない。,びょう
病-音,病,音,びょう,病院,病,病院へいく。,びょう,病気になる。,びょう
品-訓,品,訓,しな,品物,品,品物をならべる。,しな,品をえらぶ。,しな
負-訓,負,訓,ま,負ける,負,しあいに負ける。,ま,ゲームに負ける。,ま
部-音,部,音,ぶ,部,部,サッカー部。,ぶ,部室にいく。,ぶ
服-音,服,音,ふく,服,服,服をきる。,ふく,せい服。,ふく
福-音,福,音,ふく,福,福,七福じん。,ふく,こう福にくらす。,ふく
物-訓,物,訓,もの,物,物,たべ物。,もの,かい物にいく。,もの
平-訓,平,訓,たい,平ら,平,平らなみち。,たい,平らな土地。,たい
返-訓,返,訓,かえ,返す,返,本を返す。,かえ,お金を返す。,かえ
勉-音,勉,音,べん,勉強,勉,勉強をする。,べん,勉強べや。,べん
放-訓,放,訓,はな,放す,放,とりを放す。,はな,手を放す。,はな
味-訓,味,訓,あじ,味,味,あまい味。,あじ,味をみる。,あじ
命-訓,命,訓,いのち,命,命,命を大切にする。,いのち,いきものの命。,いのち
面-音,面,音,めん,画面,面,画面をみる。,めん,面せきをはかる。,めん
問-音,問,音,もん,問題,問,問題をとく。,もん,しつ問する。,もん
役-音,役,音,やく,役,役,役わりをきめる。,やく,しゅ役になる。,やく
薬-訓,薬,訓,くすり,薬,薬,薬をのむ。,くすり,かぜ薬。,くすり
由-音,由,音,ゆ,理由,由,理由をいう。,ゆ,じ由にあそぶ。,ゆ
油-訓,油,訓,あぶら,油,油,油であげる。,あぶら,サラダ油。,あぶら
有-音,有,音,ゆう,有名,有,有名なひと。,ゆう,有名なまち。,ゆう
遊-訓,遊,訓,あそ,遊ぶ,遊,こうえんで遊ぶ。,あそ,ともだちと遊ぶ。,あそ
予-音,予,音,よ,予定,予,予定をたてる。,よ,予しゅうする。,よ
羊-訓,羊,訓,ひつじ,羊,羊,羊のむれ。,ひつじ,白い羊。,ひつじ
洋-音,洋,音,よう,洋服,洋,洋服をきる。,よう,洋しょくをたべる。,よう
葉-訓,葉,訓,は,葉,葉,木の葉。,は,葉っぱがおちる。,は
陽-音,陽,音,よう,太陽,陽,太陽がのぼる。,よう,陽気なひと。,よう
様-訓,様,訓,さま,王様,様,王様のおしろ。,さま,おきゃく様。,さま
落-訓,落,訓,お,落ちる,落,はっぱが落ちる。,お,ボールが落ちる。,お
流-訓,流,訓,なが,流れる,流,川が流れる。,なが,水が流れる。,なが
旅-訓,旅,訓,たび,旅,旅,たのしい旅。,たび,旅にでる。,たび
旅-音,旅,音,りょ,旅行,旅,旅行にいく。,りょ,旅かんにとまる。,りょ
両-音,両,音,りょう,両手,両,両手であげる。,りょう,両がわをみる。,りょう
緑-訓,緑,訓,みどり,緑,緑,緑のはっぱ。,みどり,緑色のふく。,みどり
礼-音,礼,音,れい,お礼,礼,お礼をいう。,れい,礼ぎ正しい。,れい
列-音,列,音,れつ,一列,列,一列にならぶ。,れつ,行列にならぶ。,れつ
練-音,練,音,れん,練習,練,練習をする。,れん,れん習場。,れん
路-音,路,音,ろ,道路,路,道路をわたる。,ろ,線路をみる。,ろ
和-音,和,音,わ,平和,和,平和なくに。,わ,わ室にはいる。,わ
